"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"158","2012","CLE","E.Stephens",0,0,0,0,0,0,0,0,0,0,1,0
"159","2012","CLE","J.Cribbs",0,0,0,0,0,0,0,0,0,0,1,0
"160","2012","CLE","A.Smith",0,0,0,0,0,0,0,1,-1,0,1,0
"161","2012","CLE","T.Benjamin",0,0,0,0,1,35,0,1,12,0,1,0
"162","2012","CLE","P.Dawson",0,0,0,0,0,0,0,0,0,0,1,0
"163","2012","CLE","M.Massaquoi",0,0,0,0,0,0,0,3,41,0,1,0
"164","2012","CLE","J.Gordon",0,0,0,0,0,0,0,2,32,0,1,0
"165","2012","CLE","B.Jackson",0,0,0,0,0,0,0,2,20,0,1,0
"166","2012","CLE","B.Watson",0,0,0,0,0,0,0,2,9,0,1,0
"167","2012","CLE","S.Brown",0,0,0,0,0,0,0,0,0,0,1,0
"168","2012","CLE","F.Rucker",0,0,0,0,0,0,0,0,0,0,1,0
"169","2012","CLE","J.Sheard",0,0,0,0,0,0,0,0,0,0,1,0
"170","2012","CLE","E.Hagg",0,0,0,0,0,0,0,0,0,0,1,0
"171","2012","CLE","T.Ward",0,0,0,0,0,0,0,0,0,0,1,0
"172","2012","CLE","C.Robertson",0,0,0,0,0,0,0,0,0,0,1,0
"173","2012","CLE","B.Skrine",0,0,0,0,0,0,0,0,0,0,1,0
"174","2012","CLE","J.Haden",0,0,0,0,0,0,0,0,0,0,1,0
"175","2012","CLE","K.Maiava",0,0,0,0,0,0,0,0,0,0,1,0
"176","2012","CLE","A.Rubin",0,0,0,0,0,0,0,0,0,0,1,0
"177","2012","CLE","D.Patterson",0,0,0,0,0,0,0,0,0,0,1,0
"178","2012","CLE","L.Fort",0,0,0,0,0,0,0,0,0,0,1,0
"179","2012","CLE","B.Winn",0,0,0,0,0,0,0,0,0,0,1,0
"180","2012","CLE","J.Parker",0,0,0,0,0,0,0,0,0,0,1,0
"181","2012","CLE","I.Kitchen",0,0,0,0,0,0,0,0,0,0,1,0
"182","2012","CLE","J.Thomas",0,0,0,0,0,0,0,0,0,0,1,0
"183","2012","PHI","L.McCoy",0,0,0,0,20,110,0,6,26,0,1,0
"184","2012","PHI","M.Vick",56,29,317,2,7,32,0,0,0,0,1,2
"185","2012","PHI","B.Boykin",0,0,0,0,0,0,0,0,0,0,1,0
"186","2012","PHI","D.Johnson",0,0,0,0,0,0,0,1,10,0,1,0
"187","2012","PHI","B.Celek",0,0,0,0,0,0,0,4,65,0,1,0
"188","2012","PHI","D.Jackson",0,0,0,0,1,5,0,4,77,0,1,0
"189","2012","PHI","A.Henery",0,0,0,0,0,0,0,0,0,0,1,0
"190","2012","PHI","B.Brown",0,0,0,0,2,3,0,0,0,0,1,0
"191","2012","PHI","C.Harbor",0,0,0,0,0,0,0,3,16,1,1,1
"192","2012","PHI","J.Avant",0,0,0,0,0,0,0,4,27,0,1,0
"193","2012","PHI","J.Maclin",0,0,0,0,0,0,0,7,96,1,1,1
